江西本地,#genre#
CGTN法语,http://192.168.1.254:8888/udp/239.252.219.65:5140
CGTN阿语,http://192.168.1.254:8888/udp/239.252.219.66:5140
CGTN俄语,http://192.168.1.254:8888/udp/239.252.219.67:5140
CGTN纪录,http://192.168.1.254:8888/udp/239.252.219.195:5140

CCTV3,http://192.168.1.254:8888/udp/239.252.220.193:5140
CCTV5,http://192.168.1.254:8888/udp/239.252.219.198:5140
CCTV6,http://192.168.1.254:8888/udp/239.252.220.195:5140
CCTV8,http://192.168.1.254:8888/udp/239.252.220.196:5140


央视台球,http://192.168.1.254:8888/udp/239.252.219.80:5140
央视精品,http://192.168.1.254:8888/udp/239.252.219.81:5140
风云足球,http://192.168.1.254:8888/udp/239.252.219.96:5140
第一剧场,http://192.168.1.254:8888/udp/239.252.219.86:5140
风云音乐,http://192.168.1.254:8888/udp/239.252.219.87:5140
风云剧场,http://192.168.1.254:8888/udp/239.252.219.89:5140
怀旧剧场,http://192.168.1.254:8888/udp/239.252.219.90:5140
世界地理,http://192.168.1.254:8888/udp/239.252.219.93:5140
女性时尚,http://192.168.1.254:8888/udp/239.252.219.94:5140
兵器科技,http://192.168.1.254:8888/udp/239.252.219.98:5140
高尔夫网球,http://192.168.1.254:8888/udp/239.252.219.95:5140


支持作者,https://vd2.bdstatic.com/mda-qg7aaxanpg2jwq4m/720p/h264/1720423041491052621/mda-qg7aaxanpg2jwq4m.mp4?v_from_s=bdapp-resbox-hnb
支持作者,https://web.my.zhoujie218.top:8443/web/zbds/jieshao2.mp4
支持作者,https://img-cloud.zhoujie218.top/zbds/jieshao.mp4


卫视频道,#genre#
湖南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225553/iptv7967.smil
浙江卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225545/iptv7963.smil
江苏卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225543/iptv7962.smil
东方卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225541/iptv7961.smil
北京卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225539/iptv7960.smil
广东卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225575/iptv7978.smil
深圳卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225587/iptv7984.smil
湖北卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225555/iptv7968.smil
天津卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225565/iptv7973.smil
安徽卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225547/iptv7964.smil
辽宁卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225567/iptv7974.smil
山东卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225549/iptv7965.smil
东南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225573/iptv7977.smil
云南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225775/10000100000000060000000000195766_0.smil
吉林卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225569/iptv7975.smil
西藏卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225570/iptv101725.smil
广西卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225577/iptv7979.smil
宁夏卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225747/iptv101619.smil
河南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225563/iptv7972.smil
重庆卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225559/iptv7970.smil
甘肃卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225749/iptv101672.smil
海南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225581/iptv7981.smil
四川卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225561/iptv7971.smil
山西卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225551/iptv7966.smil
贵州卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225579/iptv7980.smil
青海卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225589/iptv7985.smil
陕西卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225755/iptv101726.smil
内蒙卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225591/iptv7986.smil
新疆卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225550/iptv61197.smil
兵团卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225753/iptv101723.smil
河北卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221226806/59781423.smil
龙江卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225571/iptv7976.smil
厦门卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221226982/85722609.smil
三沙卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221226984/85722645.smil

湖南卫视,http://192.168.1.254:8888/udp/239.252.219.201:5140
浙江卫视,http://192.168.1.254:8888/udp/239.252.219.210:5140
江苏卫视,http://192.168.1.254:8888/udp/239.252.219.214:5140
江西卫视,http://192.168.1.254:8888/udp/239.252.220.63:5140
东方卫视,http://192.168.1.254:8888/udp/239.252.219.229:5140
北京卫视,http://192.168.1.254:8888/udp/239.252.219.206:5140
广东卫视,http://192.168.1.254:8888/udp/239.252.219.213:5140
深圳卫视,http://192.168.1.254:8888/udp/239.252.219.212:5140
湖北卫视,http://192.168.1.254:8888/udp/239.252.219.208:5140
天津卫视,http://192.168.1.254:8888/udp/239.252.220.61:5140
安徽卫视,http://192.168.1.254:8888/udp/239.252.220.83:5140
辽宁卫视,http://192.168.1.254:8888/udp/239.252.220.62:5140
山东卫视,http://192.168.1.254:8888/udp/239.252.219.228:5140
东南卫视,http://192.168.1.254:8888/udp/239.252.220.82:5140
云南卫视,http://192.168.1.254:8888/udp/239.252.219.185:5140
吉林卫视,http://192.168.1.254:8888/udp/239.252.220.188:5140
西藏卫视,http://192.168.1.254:8888/udp/239.252.219.106:5140
广西卫视,http://192.168.1.254:8888/udp/239.252.219.183:5140
宁夏卫视,http://192.168.1.254:8888/udp/239.252.219.104:5140
河南卫视,http://192.168.1.254:8888/udp/239.252.220.189:5140
重庆卫视,http://192.168.1.254:8888/udp/239.252.220.94:5140
甘肃卫视,http://192.168.1.254:8888/udp/239.252.219.140:5140
海南卫视,http://192.168.1.254:8888/udp/239.252.219.178:5140
四川卫视,http://192.168.1.254:8888/udp/239.252.220.93:5140
山西卫视,http://192.168.1.254:8888/udp/239.252.219.27:5140
贵州卫视,http://192.168.1.254:8888/udp/239.252.220.190:5140
青海卫视,http://192.168.1.254:8888/udp/239.252.219.46:5140
陕西卫视,http://192.168.1.254:8888/udp/239.252.219.105:5140
新疆卫视,http://192.168.1.254:8888/udp/239.252.219.100:5140
兵团卫视,http://192.168.1.254:8888/udp/239.252.219.107:5140
河北卫视,http://192.168.1.254:8888/udp/239.252.220.154:5140
厦门卫视,http://192.168.1.254:8888/udp/239.252.219.75:5140
三沙卫视,http://192.168.1.254:8888/udp/239.252.219.76:5140
黑龙江卫视,http://192.168.1.254:8888/udp/239.252.219.211:5140
内蒙古卫视,http://192.168.1.254:8888/udp/239.252.219.48:5140




儿童频道,#genre#

中国教育1,rtsp://115.153.254.81/PLTV/88888888/224/3221225751/iptv101710.smil
中国教育2,rtsp://115.153.254.81/PLTV/88888888/224/3221226978/85722625.smil
中国教育4,rtsp://115.153.254.81/PLTV/88888888/224/3221226905/65242632.smil
山东教育,rtsp://115.153.254.81/PLTV/88888888/224/3221226980/85722602.smil
金鹰卡通,rtsp://115.153.254.81/PLTV/88888888/224/3221225585/iptv7983.smil
炫动卡通,rtsp://115.153.254.81/PLTV/88888888/224/3221225583/iptv7982.smil
卡酷卡通,rtsp://115.153.254.81/PLTV/88888888/224/3221225566/iptv101695.smil
嘉佳卡通,rtsp://115.153.254.81/PLTV/88888888/224/3221225588/10000100000000060000000000140157_0.smil
乐游,rtsp://115.153.254.81/PLTV/88888888/224/3221227041/87703526.smil
哈哈动画,rtsp://115.153.254.81/PLTV/88888888/224/3221225583/iptv7982.smil

中国教育1,http://192.168.1.254:8888/udp/239.252.220.198:5140
中国教育2,http://192.168.1.254:8888/udp/239.252.219.73:5140
中国教育4,http://192.168.1.254:8888/udp/239.252.219.169:5140
山东教育,http://192.168.1.254:8888/udp/239.252.219.74:5140
金鹰卡通,http://192.168.1.254:8888/udp/239.252.219.69:5140
炫动卡通,http://192.168.1.254:8888/udp/239.252.219.43:5140
卡酷卡通,http://192.168.1.254:8888/udp/239.252.219.109:5140
嘉佳卡通,http://192.168.1.254:8888/udp/239.252.219.92:5140
少儿动画,http://192.168.1.254:8888/udp/239.252.220.136:5140
江西少儿,http://192.168.1.254:8888/udp/239.252.219.113:5140
好学生,http://192.168.1.254:8888/udp/239.252.220.90:5140
新动漫,http://192.168.1.254:8888/udp/239.252.220.132:5140
国学,http://192.168.1.254:8888/udp/239.252.220.157:5140
书画,http://192.168.1.254:8888/udp/239.252.219.99:5140
戏曲,http://192.168.1.254:8888/udp/239.252.219.163:5140
早教,http://192.168.1.254:8888/udp/239.252.219.164:5140
动画,http://192.168.1.254:8888/udp/239.252.219.165:5140
梨园,http://192.168.1.254:8888/udp/239.252.220.179:5140


电影频道,#genre#

华数精彩影视,rtsp://115.153.254.81/PLTV/88888888/224/3221227052/86502219.smil
CHC高清电影,rtsp://115.153.254.81/PLTV/88888888/224/3221226990/86128784.smil
CHC家庭影院,rtsp://115.153.254.81/PLTV/88888888/224/3221226959/86128800.smil
CHC动作电影,rtsp://115.153.254.81/PLTV/88888888/224/3221226992/86128817.smil
魅力时尚,rtsp://115.153.254.81/PLTV/88888888/224/3221226981/86440822.smil
热播剧场,rtsp://115.153.254.81/PLTV/88888888/224/3221227008/86440955.smil
经典电影,rtsp://115.153.254.81/PLTV/88888888/224/3221227010/86440860.smil
爱综艺,rtsp://115.153.254.81/PLTV/88888888/224/3221226983/86440966.smil
爱体育,rtsp://115.153.254.81/PLTV/88888888/224/3221227012/86440946.smil
爱电影,rtsp://115.153.254.81/PLTV/88888888/224/3221226985/86441021.smil
爱大剧,rtsp://115.153.254.81/PLTV/88888888/224/3221227014/86441032.smil
城市剧场,rtsp://115.153.254.81/PLTV/88888888/224/3221227018/86441003.smil
军旅剧场,rtsp://115.153.254.81/PLTV/88888888/224/3221226995/86441107.smil
古装剧场,rtsp://115.153.254.81/PLTV/88888888/224/3221227020/86441115.smil
喜剧影院,rtsp://115.153.254.81/PLTV/88888888/224/3221226997/86441126.smil
动作影院,rtsp://115.153.254.81/PLTV/88888888/224/3221226999/86441130.smil
家庭影院,rtsp://115.153.254.81/PLTV/88888888/224/3221227022/86441136.smil
音乐现场,rtsp://115.153.254.81/PLTV/88888888/224/3221227001/86441055.smil
武侠剧场,rtsp://115.153.254.81/PLTV/88888888/224/3221227003/86441017.smil


CHC电影,http://192.168.1.254:8888/udp/239.252.219.83:5140
CHC家庭影院,http://192.168.1.254:8888/udp/239.252.219.84:5140
CHC动作电影,http://192.168.1.254:8888/udp/239.252.219.85:5140
IPTV碟战剧场,http://192.168.1.254:8888/udp/239.252.220.145:5140
IPTV相声小品,http://192.168.1.254:8888/udp/239.252.220.146:5140
IPTV野外,http://192.168.1.254:8888/udp/239.252.220.73:5140
IPTV法治,http://192.168.1.254:8888/udp/239.252.220.74:5140
城市剧场,http://192.168.1.254:8888/udp/239.252.220.75:5140
军旅剧场,http://192.168.1.254:8888/udp/239.252.220.76:5140
古装剧场,http://192.168.1.254:8888/udp/239.252.220.77:5140
喜剧影院,http://192.168.1.254:8888/udp/239.252.220.79:5140
动作影院,http://192.168.1.254:8888/udp/239.252.220.85:5140
家庭影院,http://192.168.1.254:8888/udp/239.252.220.86:5140
音乐现场,http://192.168.1.254:8888/udp/239.252.220.87:5140
武侠剧场,http://192.168.1.254:8888/udp/239.252.220.88:5140
热播剧场,http://192.168.1.254:8888/udp/239.252.220.138:5140
经典电影,http://192.168.1.254:8888/udp/239.252.220.139:5140
爱综艺,http://192.168.1.254:8888/udp/239.252.220.140:5140
爱体育,http://192.168.1.254:8888/udp/239.252.220.141:5140
爱电影,http://192.168.1.254:8888/udp/239.252.220.142:5140
爱大剧,http://192.168.1.254:8888/udp/239.252.220.143:5140
欢笑剧场,http://192.168.1.254:8888/udp/239.252.219.224:5140
都市剧场,http://192.168.1.254:8888/udp/239.252.219.225:5140


港澳台,#genre#


凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8






其他频道,#genre#

四海钓鱼,http://192.168.1.254:8888/udp/239.252.220.214:5140
金鹰纪实,http://192.168.1.254:8888/udp/239.252.220.155:5140
先锋乒羽,http://192.168.1.254:8888/udp/239.252.219.184:5140
快乐垂钓,http://192.168.1.254:8888/udp/239.252.220.177:5140
纪实人文,http://192.168.1.254:8888/udp/239.252.219.227:5140
法治天地,http://192.168.1.254:8888/udp/239.252.219.56:5140
生活时尚,http://192.168.1.254:8888/udp/239.252.219.54:5140
金色频道,http://192.168.1.254:8888/udp/239.252.219.63:5140
财富天下,http://192.168.1.254:8888/udp/239.252.220.240:5140
动漫秀场,http://192.168.1.254:8888/udp/239.252.219.59:5140
游戏风云,http://192.168.1.254:8888/udp/239.252.219.60:5140
文物宝库,http://192.168.1.254:8888/udp/239.252.220.158:5140
东方财经,http://192.168.1.254:8888/udp/239.252.219.57:5140
环球奇观,http://192.168.1.254:8888/udp/239.252.220.135:5140
生态环境,http://192.168.1.254:8888/udp/239.252.220.216:5140
家庭理财,http://192.168.1.254:8888/udp/239.252.220.217:5140
环球旅游,http://192.168.1.254:8888/udp/239.252.220.218:5140
优优宝贝,http://192.168.1.254:8888/udp/239.252.220.219:5140
中国天气,http://192.168.1.254:8888/udp/239.252.219.143:5140
证券服务,http://192.168.1.254:8888/udp/239.252.219.144:5140
百姓健康,http://192.168.1.254:8888/udp/239.252.219.146:5140
武术世界,http://192.168.1.254:8888/udp/239.252.220.180:5140
魅力时尚,http://192.168.1.254:8888/udp/239.252.220.137:5140
电视指南,http://192.168.1.254:8888/udp/239.252.219.97:5140
爱生活,http://192.168.1.254:8888/udp/239.252.220.89:5140
爱体育,http://192.168.1.254:8888/udp/239.252.220.211:5140
爱上4K,http://192.168.1.254:8888/udp/239.252.220.212:5140

浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经视,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
内蒙古综合,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=173f71025a2de64458989cfb281a0a37&txTime=771E8800
内蒙古经济生活,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=8e4b7cf6a2c8a75f74aef1a8a07cef43&txTime=771E8800
内蒙古少儿,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=ff5a1fd70ea228ee35b0d29895f37c56&txTime=771E8800
内蒙古文体娱乐,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=82ed51a2a4cbf85b62fec8ef2bfe4529&txTime=771E8800
内蒙古农牧,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=b5e44fcd9473993661f17746112ad1b7&txTime=771E8800
内蒙古蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=2250268a1d326dbbc4cbf0ba32649ca5&txTime=771E8800
内蒙古蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880




特色频道,#genre#


车迷,http://192.168.1.254:8888/udp/239.252.220.215:5140
汽摩,http://192.168.1.254:8888/udp/239.252.220.181:5140
精选,http://192.168.1.254:8888/udp/239.252.219.161:5140
乐游,http://192.168.1.254:8888/udp/239.252.219.141:5140
鉴赏,http://192.168.1.254:8888/udp/239.252.219.166:5140
墨宝,http://192.168.1.254:8888/udp/239.252.219.168:5140
光影,http://192.168.1.254:8888/udp/239.252.220.200:5140
台球,http://192.168.1.254:8888/udp/239.252.220.201:5140
美人,http://192.168.1.254:8888/udp/239.252.220.202:5140
武术,http://192.168.1.254:8888/udp/239.252.220.203:5140
高网,http://192.168.1.254:8888/udp/239.252.220.204:5140
足球,http://192.168.1.254:8888/udp/239.252.220.205:5140
军事,http://192.168.1.254:8888/udp/239.252.220.206:5140
地理,http://192.168.1.254:8888/udp/239.252.220.207:5140
美妆,http://192.168.1.254:8888/udp/239.252.220.208:5140
解密,http://192.168.1.254:8888/udp/239.252.220.209:5140
星影,http://192.168.1.254:8888/udp/239.252.220.210:5140
茶,http://192.168.1.254:8888/udp/239.252.220.160:5140
收视指南,http://192.168.1.254:8888/udp/239.252.220.144:5140

电信高清,#genre#
CCTV1,rtsp://115.153.254.81/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV2,rtsp://115.153.254.81/PLTV/88888888/224/3221226825/59814584.smil
CCTV3,rtsp://115.153.254.81/PLTV/88888888/224/3221226930/65406412.smil
CCTV4,rtsp://115.153.254.81/PLTV/88888888/224/3221226838/59814684.smil
CCTV5,rtsp://115.153.254.81/PLTV/88888888/224/3221226907/65396401.smil
CCTV6,rtsp://115.153.254.81/PLTV/88888888/224/3221226909/65396493.smil
CCTV7,rtsp://115.153.254.81/PLTV/88888888/224/3221226827/59814693.smil
CCTV8,rtsp://115.153.254.81/PLTV/88888888/224/3221226911/65406606.smil
CCTV9,rtsp://115.153.254.81/PLTV/88888888/224/3221226840/59814699.smil
CCTV10,rtsp://115.153.254.81/PLTV/88888888/224/3221226630/51813372.smil
CCTV11,rtsp://115.153.254.81/PLTV/88888888/224/3221226986/85722616.smil
CCTV12,rtsp://115.153.254.81/PLTV/88888888/224/3221226829/59814709.smil
CCTV13,rtsp://115.153.254.81/PLTV/88888888/224/3221227037/87447722.smil
CCTV14,rtsp://115.153.254.81/PLTV/88888888/224/3221226634/51813368.smil
CCTV15,rtsp://115.153.254.81/PLTV/88888888/224/3221226988/85722541.smil
CCTV16-4K,rtsp://115.153.254.81/PLTV/88888888/224/3221227051/92603106.smil
CCTV17,rtsp://115.153.254.81/PLTV/88888888/224/3221226846/61397282.smil
CCTV5+,rtsp://115.153.254.81/PLTV/88888888/224/3221226976/85722488.smil
CCTV4HD-欧洲,rtsp://115.153.254.81/PLTV/88888888/224/3221226964/77799053.smil
CCTV4HD-美洲,rtsp://115.153.254.81/PLTV/88888888/224/3221226962/77799052.smil
CGTN,rtsp://115.153.254.81/PLTV/88888888/224/3221226694/55738457.smil
CGTN-英语,rtsp://115.153.254.81/PLTV/88888888/224/3221226947/77798966.smil
CGTN-英文纪录,rtsp://115.153.254.81/PLTV/88888888/224/3221226960/77798993.smil
CGTN-西班牙语,rtsp://115.153.254.81/PLTV/88888888/224/3221226949/77798970.smil
CGTN-法语,rtsp://115.153.254.81/PLTV/88888888/224/3221226968/77799060.smil
CGTN-阿拉伯语,rtsp://115.153.254.81/PLTV/88888888/224/3221226951/77799001.smil
CGTN-俄语,rtsp://115.153.254.81/PLTV/88888888/224/3221226966/77798997.smil
CCTV3,rtsp://115.153.254.81/PLTV/88888888/224/3221226841/63329606.smil
CCTV5,rtsp://115.153.254.81/PLTV/88888888/224/3221226852/63329574.smil
CCTV6,rtsp://115.153.254.81/PLTV/88888888/224/3221226843/63329570.smil
CCTV8,rtsp://115.153.254.81/PLTV/88888888/224/3221226854/63329578.smil
央视台球,rtsp://115.153.254.81/PLTV/88888888/224/3221226955/86106661.smil
央视精品,rtsp://115.153.254.81/PLTV/88888888/224/3221226957/86128679.smil
导视,rtsp://115.153.254.81/PLTV/88888888/224/3221225623/iptv8002.smil
中国天气,rtsp://115.153.254.81/PLTV/88888888/224/3221227056/89471929.smil
江西卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221226656/46275837.smil
江西都市频道,rtsp://115.153.254.81/PLTV/88888888/224/3221227069/94448631.smil
江西经济生活频道,rtsp://115.153.254.81/PLTV/88888888/224/3221226946/70055407.smil
江西影视旅游频道,rtsp://115.153.254.81/PLTV/88888888/224/3221227071/98779894.smil
江西公共农业频道,rtsp://115.153.254.81/PLTV/88888888/224/3221226708/53213097.smil
江西新闻频道,rtsp://115.153.254.81/PLTV/88888888/224/3221226650/53190437.smil
江西教育频道,rtsp://115.153.254.81/PLTV/88888888/224/3221226942/69552502.smil
江西少儿频道,rtsp://115.153.254.81/PLTV/88888888/224/3221226724/53707450.smil
江西移动电视频道,rtsp://115.153.254.81/PLTV/88888888/224/3221227070/96801473.smil
湖南卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225697/iptv8039.smil
浙江卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225768/10000100000000060000000000913518_0.smil
江苏卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225766/10000100000000060000000000913517_0.smil
东方卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225770/10000100000000060000000000913526_0.smil
北京卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225546/iptv51912.smil
广东卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225957/10000100000000060000000000913519_0.smil
深圳卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225764/10000100000000060000000000913503_0.smil
湖北卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221225827/10000100000000060000000000470332_2.smil
天津卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221226652/46098366.smil
安徽卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221226622/51176344.smil
辽宁卫视,rtsp://115.153.254.81/PLTV/88888888/224/3221226649/46098370.smil
